gene,meanTumor,meanControl,log2FC,pvalue
NFATC2IP,4.423907064339188,4.527647163370513,-0.10374009903132464,0.3185369719861348
RETNLA,0.0,0.0,0.0,1.0
MIEF1,4.375709892087211,4.12032340333536,0.2553864887518511,7.681232254965345e-05
4930563E22RIK,0.14031750008054178,0.23732247695825257,-0.09700497687771079,0.09923873332383933
GOT1L1,0.08541100756674931,0.2856152542292093,-0.20020424666246,0.0011575865941232109
UCMA,0.0,0.0,0.0,1.0
OLFR698,0.0,0.0,0.0,1.0
SCAMP2,6.13358410558909,5.651337777823025,0.4822463277660649,0.000356142486460144
VMN1R59,0.0,0.0,0.0,1.0
OLFR1219,0.0,0.0,0.0,1.0
KAT2A,5.861242683459003,6.209819929109616,-0.3485772456506133,0.009581350398713788
PGP,4.878421747627292,4.9858319406477785,-0.10741019302048649,0.41873068470973884
SLC2A7,0.0,0.009309159660626003,-0.009309159660626003,0.2966650369240992
FAM198A,0.4211637417742215,0.11814913908436755,0.3030146026898539,0.0005910886981483267
CFC1,0.022285475105264324,0.055815744102269735,-0.03353026899700541,0.5407441827259086
GM6994,0.0,0.0,0.0,1.0
ZMAT1,2.7007416212957995,2.5370541905558843,0.1636874307399152,0.16513201365600275
SMURF1,3.1127026056992992,3.051248754930994,0.06145385076830534,0.4993086802342983
GGACT,5.638099171162392,4.863731601565101,0.7743675695972909,1.4975348517657e-08
LOC102634812,0.9949396697520605,0.7734628652391862,0.22147680451287433,0.13369154687970336
MPV17L2,4.502855216391073,4.850940575287181,-0.3480853588961077,0.001921495054985025
TWISTNB,5.7261112455652965,5.755542173837975,-0.02943092827267879,0.6418434111484965
4930407I10RIK,0.019138421867123372,0.0,0.019138421867123372,0.022925702202255423
SLC15A1,0.012418152679194458,0.0,0.012418152679194458,0.10949809895119934
EDNRA,0.0,0.0,0.0,1.0
WFDC21,0.0,0.1604627686877075,-0.1604627686877075,0.10789230135077406
MARVELD3,0.0,0.0,0.0,1.0
PAPPA,0.0,0.0,0.0,1.0
CDKN2B,1.9427196540756313,0.07279829714984773,1.8699213569257835,0.0001368276479402947
UBE2D2B,0.0,0.0,0.0,1.0
APBA3,3.296087440158343,3.723434350526175,-0.4273469103678318,0.001678047253441232
TENT5C,0.12601141912335342,0.3994286014725827,-0.2734171823492293,0.00781377736048589
CACNA1G,0.0,0.0015384880899931151,-0.0015384880899931151,0.2966650369240992
ATP8A2,0.07825559922997563,0.060531036092623815,0.017724563137351816,0.5111963029490676
NET1,4.6265943753624645,5.55319271072265,-0.9265983353601852,0.00042161975173200285
1700011L22RIK,0.011929044280563706,0.046051384907795846,-0.03412234062723214,0.27773339107845196
1700020A23RIK,0.0,0.0,0.0,1.0
FBXW4,3.385235821729038,2.572402303308028,0.81283351842101,0.000123178560400276
UBA52,10.030204976910644,9.90811844622555,0.12208653068509356,0.04633250115389884
SUMF1,4.370757305514459,4.396184843125935,-0.02542753761147587,0.5363028823996897
RCN2,5.442591226055447,4.771081135590418,0.6715100904650297,6.901064493090477e-08
2700062C07RIK,5.090589961831833,5.702905684040996,-0.6123157222091624,1.5845359074227082e-07
GMEB1,3.4593183604179867,3.7695248212058567,-0.31020646078787006,0.0038925666593527058
XPO1,7.208412846758562,7.630077796460616,-0.4216649497020537,0.02935568635130526
NFE2L1,5.592408893605877,5.262196811352637,0.33021208225324017,0.06669017960215566
NIPBL,5.965987055464166,5.976538927737037,-0.010551872272871243,0.870182895204202
AA536875,0.004329343132117328,0.0,0.004329343132117328,0.38928314247621143
NEO1,0.3281627212417823,0.708997968114255,-0.38083524687247267,6.333097927359144e-07
OLFR1154,0.0,0.0,0.0,1.0
CELF2,6.264978276764411,6.418666517669292,-0.15368824090488165,0.0009847890903939664
DHX35,4.427993923126942,4.221752968259609,0.20624095486733296,0.0013102657099678767
FAM3C,6.003491839033227,5.286949957401491,0.7165418816317359,5.041474739019544e-07
ZMYND15,0.02902243422365589,0.044615153583340145,-0.015592719359684256,0.30533637638588484
SLC5A12,0.0,0.0,0.0,1.0
PLBD2,4.44319911205233,3.8979239686971097,0.5452751433552203,0.005349750118447729
PLAG1,0.619449807256485,0.24510476935145772,0.37434503790502727,0.0004674169552952049
KEG1,0.0,0.0,0.0,1.0
RBFOX2,0.00078510749699453,0.0,0.00078510749699453,0.38928314247621154
ENO1B,2.2487613009971135,2.060879801389102,0.18788149960801137,0.04237113898674079
VMN1R184,0.0,0.0,0.0,1.0
HHATL,0.005044772410523643,0.0,0.005044772410523643,0.38928314247621143
STT3B,6.861836820487354,6.653344342983564,0.20849247750378996,3.891444190297617e-05
4930449E01RIK,0.0,0.0,0.0,1.0
NDST4,0.0,0.0,0.0,1.0
SIGLEC15,2.3301440268109337,3.0015270883232446,-0.6713830615123109,1.5070796474378121e-05
SMCO1,0.0,0.0,0.0,1.0
2810404M03RIK,0.0,0.0,0.0,1.0
SMTNL2,1.3844482469056876,0.686453465230507,0.6979947816751806,0.009563186779237653
AMY2B,0.0,0.0,0.0,1.0
MYOM1,0.02713314715899423,0.05084137621883188,-0.023708229059837646,0.05730779576287539
TFEB,4.409634101293173,5.04892011163409,-0.6392860103409177,2.3977244239086394e-07
SVS5,0.0,0.0,0.0,1.0
METTL8,3.731161782613366,4.079220500783271,-0.3480587181699053,0.00017544099452344533
TECTB,0.0,0.0,0.0,1.0
OLFR735,0.0,0.0,0.0,1.0
HMGB3,6.74834178013002,6.9889527941444,-0.24061101401438023,0.3137366032163466
XKR4,0.0,0.0,0.0,1.0
CENPM,4.540662549629208,5.472966629116146,-0.9323040794869382,0.0020688396171973282
A330035P11RIK,1.2398925529264726,0.7130052033587094,0.5268873495677632,0.003965813399876759
TRIR,7.8847716627394675,8.254856697953366,-0.3700850352138989,0.027571009400012232
SF3A2,6.805929015615418,7.342872267483068,-0.5369432518676502,0.012047491999183813
NUP85,6.380775652525823,6.687211735935852,-0.3064360834100297,0.21682428260184736
CCDC117,5.5656653402934495,4.8964696815825635,0.669195658710886,2.918078649484871e-06
LETM2,0.9675373186935324,1.523180398277939,-0.5556430795844066,0.006929446510949931
MNDAL,7.667985102497578,7.999315424795199,-0.33133032229762094,0.045202565031347675
CES2E,0.03327158629106657,0.0,0.03327158629106657,0.03484829206334535
B3GALT1,0.0,0.0,0.0,1.0
AJM1,0.3364405177069809,0.3801141666671317,-0.0436736489601508,0.45287147268855066
ATP6V0D2,0.008394805987097987,0.0,0.008394805987097987,0.1979753587805494
CARM1,5.635575399850437,6.006356900794427,-0.37078150094398943,0.04679836210792844
DSC1,0.0,0.0,0.0,1.0
CNPY3,5.900386022448626,6.018093961385838,-0.11770793893721176,0.1730198078540998
